Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country
1,SC Ganguly,7/8/1972,Left hand Bat,Right-arm medium,India
2,BB McCullum,9/27/1981,Right hand Bat,Right-arm medium,New Zealand
3,RT Ponting,12/19/1974,Right hand Bat,Right-arm medium,Australia
4,DJ Hussey,7/15/1977,Right hand Bat,Right-arm offbreak,Australia
5,Mohammad Hafeez,10/17/1980,Right hand Bat,Right-arm offbreak,Pakistan
6,R Dravid,11/1/1973,Right hand Bat,Right-arm offbreak,India
7,W Jaffer,2/16/1978,Right hand Bat,Right-arm offbreak,India
8,V Kohli,5/11/1988,Right hand Bat,Right-arm medium,India
9,JH Kallis,10/16/1975,Right hand Bat,Right-arm fast-medium,South Africa
10,CL White,8/18/1983,Right hand Bat,Legbreak googly,Australia
11,MV Boucher,3/12/1976,Right hand Bat,Right-arm medium,South Africa
12,B Akhil,7/10/1977,Right hand Bat,Right-arm medium-fast,India
13,AA Noffke,4/30/1977,Right hand Bat,Right-arm fast-medium,Australia
14,P Kumar,2/10/1986,Right hand Bat,Right-arm medium,India
15,Z Khan,7/10/1978,Right hand Bat,Left-arm fast-medium,India
16,SB Joshi,6/6/1970,Left hand Bat,Slow left-arm orthodox,India
17,PA Patel,9/3/1985,Left hand Bat,NA,India
18,ML Hayden,10/29/1971,Left hand Bat,Right-arm medium,Australia
19,MEK Hussey,5/27/1975,Left hand Bat,Right-arm medium,Australia
20,MS Dhoni,7/7/1981,Right hand Bat,Right-arm medium,India
21,SK Raina,11/27/1986,Left hand Bat,Right-arm offbreak,India
22,JDP Oram,7/28/1978,Left hand Bat,Right-arm fast-medium,New Zealand
23,S Badrinath,8/30/1980,Right hand Bat,Right-arm offbreak,India
24,K Goel,12/24/1986,Left hand Bat,Right-arm offbreak,India
25,JR Hopes,10/24/1978,Right hand Bat,Right-arm medium,Australia
26,KC Sangakkara,10/27/1977,Left hand Bat,Right-arm offbreak,Sri Lanka
27,Yuvraj Singh,12/12/1981,Left hand Bat,Slow left-arm orthodox,India
28,SM Katich,8/21/1975,Left hand Bat,Slow left-arm chinaman,Australia
29,IK Pathan,10/27/1984,Left hand Bat,Left-arm medium-fast,India
30,T Kohli,12/17/1988,Right hand Bat,Right-arm medium,India
31,YK Pathan,11/17/1982,Right hand Bat,Right-arm offbreak,India
32,SR Watson,6/17/1981,Right hand Bat,Right-arm fast-medium,Australia
33,M Kaif,1/12/1980,Right hand Bat,Right-arm offbreak,India
34,DS Lehmann,5/2/1970,Left hand Bat,Slow left-arm orthodox,Australia
35,RA Jadeja,6/12/1988,Left hand Bat,Slow left-arm orthodox,India
36,M Rawat,10/25/1985,Right hand Bat,NA,India
37,D Salunkhe,12/11/1982,Right hand Bat,Legbreak,India
38,SK Warne,9/13/1969,Right hand Bat,Legbreak googly,Australia
39,SK Trivedi,4/9/1982,Right hand Bat,Right-arm medium,India
