Match_Id,Over_No,Ball_No,Player_Out,Bowler,Dismissal_Type,Fielder,Innings_No
1312200,3,6,498,576,caught,644,1
1312200,8,2,351,400,caught,644,1
1312200,11,5,499,489,caught,347,1
1312200,12,1,407,400,caught,62,1
1312200,14,6,500,400,caught and bowled,,1
1312200,15,5,201,644,caught,320,1
1312200,17,3,458,644,caught,390,1
1312200,19,4,502,347,run out,390,1
1312200,19,6,501,347,bowled,,1
1312200,1,4,62,573,bowled,,2
1312200,4,3,271,458,caught,501,2
1312200,13,2,400,382,caught,498,2
1312199,1,5,8,573,caught,351,1
1312199,10,4,303,502,caught,201,1
1312199,13,6,305,458,caught,502,1
1312199,15,3,504,201,caught,407,1
1312199,17,4,505,502,caught,201,1
1312199,18,1,88,573,caught,501,1
1312199,18,2,507,573,bowled,,1
1312199,19,1,311,502,bowled,,1
1312199,5,1,498,508,caught,8,2
1312199,11,4,351,507,stumped,88,2
1312199,16,5,499,508,caught,88,2
1312198,0,6,303,546,caught,355,1
1312198,8,3,8,474,caught,546,1
1312198,10,3,305,413,caught,509,1
1312198,13,1,505,579,caught,354,1
1312198,0,6,355,486,caught,303,2
1312198,4,3,345,508,caught,506,2
1312198,14,4,394,507,bowled,,2
1312198,17,5,409,311,caught,504,2
1312198,18,7,354,508,caught,506,2
1312198,18,8,413,508,caught and bowled,,2
1312197,1,6,498,576,caught,62,1
1312197,9,5,351,644,caught,570,1
1312197,14,1,499,400,bowled,,1
1312197,18,3,500,347,caught,390,1
1312197,19,6,407,576,run out,62,1
1312197,19,7,501,576,run out,62,1
1312197,0,2,62,458,caught,351,2
1312197,7,5,503,201,run out,499,2
1312197,9,4,271,502,caught,407,2
1304116,2,4,512,482,caught,260,1
1304116,8,3,488,543,caught,42,1
1304116,10,3,513,543,caught,520,1
1304116,12,7,515,577,caught,521,1
1304116,14,4,514,543,stumped,521,1
1304116,19,3,497,577,caught,42,1
1304116,19,4,398,577,caught,522,1
1304116,19,6,299,577,run out,521,1
1304116,2,6,518,562,bowled,,2
1304116,6,3,519,517,caught,497,2
1304116,7,5,260,497,caught,398,2
1304116,12,4,42,562,bowled,,2
1304116,13,6,521,398,caught,512,2
1304115,2,6,187,529,caught,375,1
1304115,3,2,253,375,caught,57,1
1304115,5,4,523,375,caught,410,1
1304115,8,4,402,630,caught,410,1
1304115,15,9,420,528,caught,410,1
1304115,18,2,524,375,bowled,,1
1304115,19,4,406,528,caught,527,1
1304115,5,2,57,559,caught,406,2
1304115,11,3,410,462,caught,187,2
1304115,14,4,525,406,bowled,,2
1304115,17,6,527,406,caught,523,2
1304115,18,5,526,559,caught,420,2
1304114,0,6,530,458,caught,351,1
1304114,7,4,531,201,lbw,,1
1304114,8,4,533,502,caught,501,1
1304114,10,2,208,382,caught,499,1
1304114,18,7,20,382,caught,407,1
1304114,19,1,532,502,caught,501,1
1304114,1,4,407,534,caught,532,2
1304114,8,3,351,535,caught and bowled,,2
1304114,11,2,499,532,bowled,,2
1304114,14,5,498,639,caught,646,2
1304114,16,2,500,639,caught,531,2
1304113,2,3,503,508,caught,305,1
1304113,5,2,271,305,lbw,,1
1304113,8,3,62,311,run out,303,1
1304113,16,2,320,507,caught and bowled,,1
1304113,17,3,390,508,caught,88,1
1304113,14,3,303,489,caught,400,2
1304113,16,4,8,489,stumped,271,2
1304112,0,4,536,546,caught,355,2
1304112,2,4,537,546,caught,354,2
1304112,7,1,431,587,caught,409,2
1304112,13,4,393,409,caught,394,2
1304112,15,4,421,579,stumped,355,2
1304112,16,4,334,546,caught,394,2
1304112,19,5,538,409,caught,509,2
1304112,19,6,232,409,bowled,,2
1304111,2,4,513,529,caught,630,1
1304111,9,5,512,528,caught and bowled,,1
1304111,16,5,515,557,caught,630,1
1304111,17,2,488,528,caught,526,1
1304111,17,6,514,528,caught,527,1
1304111,19,6,497,375,bowled,,1
1304111,10,4,57,497,caught,398,2
1304111,11,3,410,517,caught,512,2
1304111,14,1,526,517,caught,396,2
1304111,14,7,529,517,caught,512,2
1304111,16,4,539,299,run out,299,2
1304111,17,8,527,493,run out,493,2
1304111,18,2,540,299,caught,398,2
1304110,0,1,187,520,caught,490,1
1304110,4,5,402,544,caught,490,1
1304110,10,6,541,544,caught,542,1
1304110,11,6,420,520,stumped,521,1
1304110,13,4,524,520,caught,42,1
1304110,18,2,253,482,caught,356,1
1304110,19,3,406,544,caught,543,1
1304110,3,6,518,559,caught,374,2
1304110,5,4,542,406,caught,559,2
1304110,5,6,42,406,caught,420,2
1304110,6,3,260,374,bowled,,2
1304110,7,6,520,462,stumped,420,2
1304110,9,3,543,462,bowled,,2
1304110,12,4,356,374,bowled,,2
1304110,17,4,521,406,caught,187,2
1304110,17,8,482,406,caught,524,2
1304109,2,2,407,474,bowled,,1
