"venue_id","venue_name","city","country"
1,"M Chinnaswamy Stadium","Bangalore","India"
2,"Punjab Cricket Association Stadium","Chandigarh","India"
3,"Arun Jaitley Stadium","Delhi","India"
4,"Wankhede Stadium","Mumbai","India"
5,"Eden Gardens","Kolkata","India"
6,"Sawai Mansingh Stadium","Jaipur","India"
7,"Rajiv Gandhi International Stadium","Hyderabad","India"
8,"MA Chidambaram Stadium","Chennai","India"
9,"Dr DY Patil Sports Academy","Mumbai","India"
10,"Newlands","Cape Town","South Africa"
11,"St George's Park","Port Elizabeth","South Africa"
12,"Kingsmead","Durban","South Africa"
13,"SuperSport Park","Centurion","South Africa"
14,"Buffalo Park","East London","South Africa"
15,"New Wanderers Stadium","Johannesburg","South Africa"
16,"De Beers Diamond Oval","Kimberley","South Africa"
17,"OUTsurance Oval","Bloemfontein","South Africa"
18,"Brabourne Stadium","Mumbai","India"
19,"Sardar Patel Stadium","Ahmedabad","India"
20,"Barabati Stadium","Cuttack","India"
21,"Vidarbha Cricket Association Stadium","Nagpur","India"
22,"Himachal Pradesh Cricket Association Stadium","Dharamsala","India"
23,"Nehru Stadium","Kochi","India"
24,"Holkar Cricket Stadium","Indore","India"
25,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","India"
26,"Subrata Roy Sahara Stadium","Pune","India"
27,"Shaheed Veer Narayan Singh International Stadium","Raipur","India"
28,"JSCA International Stadium Complex","Ranchi","India"
29,"Sheikh Zayed Stadium","Abu Dhabi","U.A.E"
30,"Sharjah Cricket Stadium","Abu Dhabi","U.A.E"
31,"Dubai International Cricket Stadium","Abu Dhabi","U.A.E"
32,"Maharashtra Cricket Association Stadium","Pune","India"
33,"Punjab Cricket Association IS Bindra Stadium","Chandigarh","India"
34,"Saurashtra Cricket Association Stadium","Rajkot","India"
35,"Green Park","Kanpur","India"
36,"Narendra Modi Stadium","Ahmedabad","India"
37,"Zayed Cricket Stadium","Abu Dhabi","U.A.E"
38,"Feroz Shah Kotla","Delhi","India"
